time_of_measurement,value,T_hot,T_cold
2023-03-27T11:17,-1.0171781784209793e-10,273,77
2023-03-28T15:01,,276.45,77
2023-03-28T15:01,,276.45,77
2023-03-28T15:02,9.49713291647508e-08,276.45,77
2023-03-28T15:14,-5.699405234188447e-06,276.45,77
2023-03-28T16:37,4.9609445291343685e-06,276.45,77
2023-03-28T21:53,96510.12758196301,276.45,77
2023-03-30T09:58,222074.8300051926,276.45,77
